id,puerto,territorio_historico,t,c,a,ultima_actualizacion,red,carretera,situacion,fuente
3687,AZAZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-132,,Diputaciones
3688,AZKARATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
3689,AZPIROZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-130,,Gobierno de Navarra
3690,AZURKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3210,,Dpto.Seguridad
3691,BARAZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-240,,Dpto.Seguridad
3692,BAREZI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
3693,BARRERILLA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2521,,Diputaciones
3694,BELATE PUERTO,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-1210,,Dpto.Seguridad
3695,BELATE TUNEL,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-121A,,Gobierno de Navarra
3696,BERBIKIZ (SAN COSME),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3621,,Dpto.Seguridad
3697,BERIAIN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121A,,Gobierno de Navarra
3698,BERNEDOKO MENDATEA/PUERTO DE BERNEDO,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2126,,Diputaciones
3699,BIDANIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
3700,BIKOSGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3513,,Dpto.Seguridad
3701,BIZKAIKO BEHATOKIA/BALCÓN DE BIZKAIA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3231,,Dpto.Seguridad
3702,DESKARGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-636,,Dpto.Seguridad
3703,DIMA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2543,,Dpto.Seguridad
3704,EITZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
3705,EL PERDÓN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-111,,Gobierno de Navarra
3706,ELOSUA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3750,,Dpto.Seguridad
3707,ENEKURI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-604,,Dpto.Seguridad
3708,ERLAITZ,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3454,,Dpto.Seguridad
3709,ESCRITA/LA ESCRITA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-630,,Dpto.Seguridad
3710,ETZEGARATE (IRUN),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
3711,ETZEGARATE (MADRID),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
3712,GAINTXURIZKETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,GI-636,,Dpto.Seguridad
